Date,Open,High,Low,Close,Adj Close,Volume,Open_Direction,High_Direction,Low_Direction,Close_Direction,Adj Close_Direction
2016/9/13,26.87750053,27.19750023,26.80999947,26.98749924,24.95573807,248704800,up,up,up,up,up
2016/9/14,27.18250084,28.25749969,27.14999962,27.94249916,25.8388443,443554800,up,up,up,up,up
2016/9/15,28.46500015,28.93250084,28.37249947,28.89249992,26.7173233,359934400,up,up,up,up,up
2016/9/16,28.78000069,29.03249931,28.51000023,28.72999954,26.56705666,319547600,up,up,up,down,down
2016/9/19,28.79750061,29.04500008,28.3125,28.39500046,26.25727844,188092000,up,up,down,down,down
2016/9/20,28.26250076,28.53000069,28.12750053,28.39249992,26.25495911,138057200,down,down,down,down,down
2016/9/21,28.46249962,28.49749947,28.11000061,28.38750076,26.25034142,144012800,up,down,down,down,down
2016/9/22,28.58749962,28.73500061,28.5,28.65500069,26.49769974,124296000,up,up,up,up,up
2016/9/23,28.60499954,28.69750023,27.88750076,28.17749977,26.05615044,209924800,up,down,down,down,down
2016/9/26,27.90999985,28.34749985,27.88750076,28.21999931,26.09544945,119477600,down,down,up,up,up
2016/9/27,28.25,28.29500008,28.08499908,28.27249908,26.14399719,98429600,up,down,up,up,up
2016/9/28,28.42250061,28.65999985,28.35750008,28.48749924,26.34280968,118564400,up,up,up,up,up
2016/9/29,28.29000092,28.45000076,27.95000076,28.04500008,25.93362427,143548000,down,down,down,down,down
2016/9/30,28.11499977,28.34250069,27.95000076,28.26250076,26.13475227,145516400,down,down,up,up,up
2016/10/3,28.17749977,28.26250076,28.06999969,28.12999916,26.0122242,86807200,up,down,up,down,down
2016/10/4,28.26499939,28.57749939,28.15749931,28.25,26.12319374,118947200,up,up,up,up,up
2016/10/5,28.35000038,28.41500092,28.17250061,28.26250076,26.13475227,85812400,up,down,up,up,up
2016/10/6,28.42499924,28.58499908,28.28249931,28.47249985,26.32894135,115117200,up,up,up,up,up
2016/10/7,28.57749939,28.63999939,28.37750053,28.51499939,26.36824226,97433600,up,up,up,up,up
2016/10/10,28.75499916,29.1875,28.68000031,29.01250076,26.82828903,144944000,up,up,up,up,up
2016/10/11,29.42499924,29.67250061,29.04999924,29.07500076,26.8860817,256164000,up,up,up,up,up
2016/10/12,29.33749962,29.49500084,29.1875,29.33499908,27.12650108,150347200,down,down,up,up,up
2016/10/13,29.19750023,29.36000061,28.93000031,29.24500084,27.04328346,140769600,down,down,down,down,down
2016/10/14,29.46999931,29.54249954,29.28249931,29.40749931,27.19355011,142608800,up,up,up,up,up
2016/10/17,29.33250046,29.45999908,29.19499969,29.38750076,27.17506027,94499600,down,down,down,down,down
2016/10/18,29.54500008,29.55249977,29.36249924,29.36750031,27.15655708,98214000,up,up,up,down,down
2016/10/19,29.3125,29.44000053,28.45000076,29.28000069,27.07564926,80138400,down,down,down,down,down
2016/10/20,29.21500015,29.34499931,29.08250046,29.26499939,27.06177521,96503200,down,down,up,down,down
2016/10/21,29.20249939,29.22750092,29.06999969,29.14999962,26.95543671,92770800,down,down,down,down,down
2016/10/24,29.27499962,29.43499947,29.25,29.41250038,27.19817352,94154800,up,up,up,up,up
2016/10/25,29.48749924,29.59000015,29.32749939,29.5625,27.33687782,192516000,up,up,up,up,up
2016/10/26,28.57749939,28.92499924,28.32749939,28.89749908,26.72194481,264536800,down,down,down,down,down
2016/10/27,28.84749985,28.96500015,28.52499962,28.62000084,26.46533966,138248000,up,up,up,down,down
2016/10/28,28.46750069,28.80249977,28.36249924,28.43000031,26.28964043,151446800,down,down,down,down,down
2016/10/31,28.41250038,28.55750084,28.29999924,28.38500023,26.24803162,105677600,down,down,down,down,down
2016/11/1,28.36499977,28.44249916,27.63249969,27.87249947,25.77411652,175303200,down,down,down,down,down
2016/11/2,27.85000038,28.08749962,27.80750084,27.89749908,25.79722595,113326800,down,down,up,up,up
2016/11/3,27.74500084,27.86499977,27.38750076,27.45750046,25.5207119,107730400,down,down,down,down,down
2016/11/4,27.13249969,27.5625,27.02750015,27.20999908,25.29066849,123348000,down,down,down,down,down
2016/11/7,27.52000046,27.62750053,27.36499977,27.60250092,25.65548325,130240000,up,up,up,up,up
2016/11/8,27.57749939,27.93000031,27.42499924,27.76499939,25.80652809,97016800,up,up,up,up,up
2016/11/9,27.46999931,27.82999992,27.01250076,27.71999931,25.76469994,236705600,down,down,down,down,down
